farmer_id,name,mobile,aadhar,state,district,village,latitude,longitude,land_area,crop_type,last_year_yield_est,ndvi_mean,ndvi_trend,rainfall_anomaly_3mo,past_kcc_defaults,upi_txn_freq,market_price_volatility,fpo_membership_flag,distance_to_mandi_km,consent_given,created_at
FRM000125,Farmer 125,+916652577800,1018 3242 7318,Haryana,District 10,Village 65,18.178415,76.043032,3.32,maize,11.27,0.49,-0.026,23.2,0,9,20.9,0,7.7,True,2024-12-06T12:54:34.499817
FRM000126,Farmer 126,+912690640008,9442 2788 8374,Karnataka,District 11,Village 32,16.714287,81.942413,8.77,cotton,32.54,0.593,-0.115,10.6,0,28,16.0,1,26.6,True,2025-02-16T12:54:34.500114
FRM000127,Farmer 127,+912487121755,3763 7328 6991,Punjab,District 4,Village 79,17.751633,83.114662,7.45,maize,29.35,0.714,-0.01,37.4,0,43,13.3,1,23.7,True,2025-04-19T12:54:34.500431
FRM000128,Farmer 128,+913391081783,6255 1249 7457,Punjab,District 5,Village 45,20.587999,72.893278,9.83,maize,30.23,0.582,0.147,-26.8,0,41,13.0,0,18.8,True,2025-01-11T12:54:34.500732
FRM000129,Farmer 129,+919394459957,1615 6944 8404,Haryana,District 2,Village 94,24.081176,77.63112,7.71,cotton,11.95,0.414,0.064,-11.3,0,27,14.8,0,14.4,True,2025-04-17T12:54:34.501030
FRM000130,Farmer 130,+912049365964,2230 8647 5933,Haryana,District 5,Village 84,22.998771,80.277902,5.32,maize,11.47,0.342,0.059,-11.7,0,17,29.0,0,28.4,True,2025-05-05T12:54:34.501329
FRM000131,Farmer 131,+916751170553,9490 1956 7623,Maharashtra,District 10,Village 67,28.321773,76.228778,2.56,rice,8.01,0.445,-0.025,38.8,0,45,21.7,0,45.1,True,2024-12-13T12:54:34.501630
FRM000132,Farmer 132,+913692244928,1067 6660 5478,Karnataka,District 19,Village 43,28.74905,81.180061,3.52,cotton,17.13,0.79,0.105,-9.4,0,47,12.8,0,2.8,True,2025-09-12T12:54:34.502303
FRM000133,Farmer 133,+918165176446,2448 1570 3904,Uttar Pradesh,District 9,Village 54,27.066211,81.296302,6.0,rice,20.96,0.778,-0.036,-12.9,0,4,29.9,1,33.2,True,2024-12-21T12:54:34.502657
FRM000134,Farmer 134,+915352791405,4875 8605 9135,Maharashtra,District 12,Village 40,25.494594,82.896015,4.43,rice,9.81,0.323,0.024,-4.7,0,49,5.5,1,31.3,True,2025-01-30T12:54:34.503036
FRM000135,Farmer 135,+917822349068,8431 2230 4805,Maharashtra,District 14,Village 20,17.949804,81.586539,0.8,wheat,2.39,0.347,0.032,38.1,0,42,10.3,1,44.5,True,2025-04-08T12:54:34.503392
FRM000136,Farmer 136,+914324877776,7026 9301 1191,Maharashtra,District 8,Village 93,29.135752,72.972676,8.26,rice,37.04,0.816,-0.124,-11.4,0,43,9.2,0,4.7,True,2024-12-10T12:54:34.503843
FRM000137,Farmer 137,+911645977260,4136 4318 3782,Maharashtra,District 10,Village 57,17.32388,73.075579,8.35,maize,23.22,0.495,-0.059,47.5,0,3,8.7,0,43.5,True,2025-08-11T12:54:34.504298
FRM000138,Farmer 138,+919418526821,6558 1186 3535,Haryana,District 13,Village 81,26.477405,84.22545,4.86,rice,19.6,0.616,0.05,27.7,0,14,6.1,0,29.0,True,2025-04-10T12:54:34.504738
FRM000139,Farmer 139,+912515576785,5482 1698 8243,Uttar Pradesh,District 17,Village 59,17.779055,75.62236,7.49,wheat,24.69,0.778,-0.029,47.0,0,12,21.5,0,29.4,True,2025-02-11T12:54:34.505295
FRM000140,Farmer 140,+910530007971,6850 5204 8446,Karnataka,District 14,Village 72,15.802717,76.894894,2.16,rice,8.34,0.421,-0.085,37.4,0,21,23.8,1,30.8,True,2025-03-06T12:54:34.505906
FRM000141,Farmer 141,+911446072383,3761 4435 7622,Haryana,District 1,Village 57,20.637075,81.205584,7.97,cotton,28.39,0.304,0.082,20.2,0,17,17.8,1,46.9,True,2025-01-21T12:54:34.506412
FRM000142,Farmer 142,+916009447675,9100 9684 1191,Punjab,District 19,Village 54,27.021687,77.097216,8.06,rice,33.36,0.419,-0.049,-3.4,0,7,12.0,0,20.2,True,2025-05-09T12:54:34.506882
FRM000143,Farmer 143,+914233590393,8737 4359 4176,Punjab,District 4,Village 60,19.434818,80.055007,2.73,rice,7.38,0.317,0.138,16.8,0,27,19.9,1,11.2,True,2025-09-03T12:54:34.507415
FRM000144,Farmer 144,+917768129759,2096 9002 5247,Maharashtra,District 5,Village 67,15.927127,73.200687,3.73,wheat,6.63,0.544,-0.072,-15.7,0,11,9.6,0,46.6,True,2025-02-15T12:54:34.508132
FRM000145,Farmer 145,+911294830354,7589 3044 3341,Punjab,District 15,Village 52,16.605858,77.720755,0.57,maize,1.27,0.665,-0.027,-9.8,0,19,23.9,0,16.3,True,2025-01-27T12:54:34.508529
FRM000146,Farmer 146,+911983076494,1310 5538 2260,Karnataka,District 6,Village 93,24.855457,83.679024,6.04,rice,17.32,0.495,-0.136,-28.2,0,26,28.3,1,29.2,True,2025-05-12T12:54:34.509135
FRM000147,Farmer 147,+918694716380,6558 9469 5647,Uttar Pradesh,District 5,Village 1,18.693662,77.506123,6.15,rice,25.13,0.318,0.048,3.2,0,25,24.7,1,28.9,True,2025-01-08T12:54:34.509739
FRM000148,Farmer 148,+915275047254,8984 1406 8384,Haryana,District 2,Village 26,27.518864,76.658351,3.91,rice,17.15,0.751,-0.007,-14.9,0,46,6.3,0,9.5,True,2025-01-26T12:54:34.510222
FRM000149,Farmer 149,+912022332977,7524 2073 6184,Haryana,District 3,Village 32,26.603582,72.572525,4.37,rice,9.03,0.661,0.141,6.2,0,12,10.6,0,26.6,True,2025-06-14T12:54:34.510808
FRM000150,Farmer 150,+915778617672,5198 2001 6244,Haryana,District 16,Village 99,28.189953,79.241527,5.61,rice,13.87,0.419,-0.064,5.6,0,15,6.0,0,10.1,True,2025-02-12T12:54:34.511112
FRM000151,Farmer 151,+919179849357,4962 4177 4722,Haryana,District 11,Village 17,20.685607,83.89579,0.91,wheat,3.85,0.519,-0.017,39.4,0,29,18.5,1,22.7,True,2025-08-21T12:54:34.511362
FRM000152,Farmer 152,+916010886924,3931 3971 3017,Maharashtra,District 13,Village 25,15.386544,79.845874,2.72,maize,6.09,0.771,0.096,-5.9,0,21,24.6,0,49.5,True,2025-09-12T12:54:34.511675
FRM000153,Farmer 153,+910189150212,2012 9378 2881,Haryana,District 16,Village 6,29.223773,75.959831,1.3,wheat,3.74,0.355,-0.145,16.2,0,33,6.9,0,41.8,True,2024-11-26T12:54:34.512003
FRM000154,Farmer 154,+910073474935,7543 6901 1969,Haryana,District 7,Village 52,15.758597,77.539576,6.09,cotton,17.61,0.836,0.013,-22.5,0,7,27.6,0,28.4,True,2025-07-24T12:54:34.512282
FRM000155,Farmer 155,+915145326153,3581 1691 1931,Karnataka,District 9,Village 19,19.022616,76.693971,7.41,rice,23.68,0.682,0.016,-28.4,0,36,24.0,0,9.2,True,2025-10-18T12:54:34.512537
FRM000156,Farmer 156,+919632928424,1287 6953 5282,Maharashtra,District 10,Village 2,16.218445,84.903563,6.89,wheat,30.25,0.67,0.097,-10.3,0,10,14.0,1,15.0,True,2025-05-15T12:54:34.512784
FRM000157,Farmer 157,+910496197329,5042 8498 7636,Punjab,District 3,Village 12,15.602083,83.568874,5.26,maize,19.75,0.313,-0.021,-22.1,0,20,24.5,0,41.3,True,2025-05-14T12:54:34.513032
FRM000158,Farmer 158,+915945583181,6593 7155 6543,Uttar Pradesh,District 9,Village 76,19.857294,80.594829,6.15,wheat,22.19,0.675,0.023,-7.1,0,24,5.5,0,47.3,True,2024-12-14T12:54:34.513310
FRM000159,Farmer 159,+914367494171,6247 5427 7135,Haryana,District 6,Village 36,20.968263,82.477726,1.28,rice,3.07,0.315,0.039,-7.4,0,23,17.3,1,40.7,True,2025-06-05T12:54:34.513570
FRM000160,Farmer 160,+916506608514,4866 1371 7998,Karnataka,District 8,Village 78,19.887352,73.66107,9.05,maize,38.68,0.672,0.054,44.6,0,31,23.9,0,46.4,True,2024-12-25T12:54:34.514046
FRM000161,Farmer 161,+915148760366,5078 2367 5042,Punjab,District 16,Village 99,16.275846,79.135346,0.63,cotton,1.66,0.605,-0.106,-40.8,0,12,28.9,0,26.7,True,2025-11-05T12:54:34.514592
FRM000162,Farmer 162,+913386325258,2499 3158 6162,Uttar Pradesh,District 19,Village 72,24.999256,73.554306,8.22,wheat,21.73,0.468,-0.029,17.3,0,28,22.4,0,37.4,True,2025-05-09T12:54:34.514890
FRM000163,Farmer 163,+915125350902,2466 4957 2966,Haryana,District 7,Village 11,15.721385,75.843646,1.53,wheat,4.85,0.622,0.012,-41.4,0,38,29.4,0,5.2,True,2024-12-01T12:54:34.515192
FRM000164,Farmer 164,+913069586618,5633 1920 8008,Maharashtra,District 4,Village 14,19.545263,84.565118,2.3,rice,9.12,0.606,-0.042,41.1,0,23,28.1,1,42.0,True,2024-12-26T12:54:34.515593
FRM000165,Farmer 165,+916896501089,2464 1390 6615,Maharashtra,District 18,Village 91,24.723502,72.798802,9.98,cotton,30.75,0.495,-0.03,-38.5,0,37,14.7,1,23.2,True,2025-01-21T12:54:34.516033
FRM000166,Farmer 166,+911381234069,9111 4715 8837,Punjab,District 11,Village 66,20.182213,82.439154,2.04,rice,7.9,0.321,0.036,19.8,0,6,19.9,1,29.7,True,2025-08-09T12:54:34.516332
FRM000167,Farmer 167,+914890945685,1404 2184 9938,Maharashtra,District 15,Village 2,22.04278,77.494528,7.94,maize,19.62,0.817,-0.113,37.5,1,44,14.9,1,40.5,True,2025-05-29T12:54:34.516700
FRM000168,Farmer 168,+917515986846,6882 6982 6798,Karnataka,District 19,Village 49,23.820007,76.590338,1.61,cotton,3.12,0.404,-0.012,25.2,0,43,6.2,1,41.7,True,2025-03-05T12:54:34.517036
FRM000169,Farmer 169,+912552277693,5270 7019 1556,Karnataka,District 8,Village 87,26.134403,75.174101,8.29,wheat,36.35,0.733,-0.065,33.7,0,14,20.6,0,8.9,True,2025-11-09T12:54:34.517469
FRM000170,Farmer 170,+917708180983,3936 4862 6649,Uttar Pradesh,District 13,Village 43,19.955872,79.65979,8.84,rice,30.53,0.828,-0.135,-40.2,0,40,27.6,0,23.7,True,2024-12-26T12:54:34.517827
FRM000171,Farmer 171,+917576483511,5041 3038 5270,Haryana,District 12,Village 77,16.476363,84.437366,6.89,maize,14.43,0.33,-0.051,26.6,0,31,5.6,0,10.5,True,2025-08-03T12:54:34.518113
FRM000172,Farmer 172,+911602304921,1126 6602 2191,Punjab,District 16,Village 38,17.713379,82.389054,6.65,cotton,29.62,0.479,0.056,46.2,0,23,15.0,0,49.0,True,2024-12-27T12:54:34.518385
FRM000173,Farmer 173,+916616048661,4159 5530 1681,Maharashtra,District 7,Village 50,18.124731,76.620711,9.97,wheat,19.67,0.672,-0.031,-36.7,0,21,27.0,1,49.6,True,2024-12-20T12:54:34.518650
FRM000174,Farmer 174,+919185855172,6622 9052 2378,Uttar Pradesh,District 1,Village 24,25.410261,74.375765,7.1,cotton,24.76,0.738,0.071,11.0,0,22,12.9,1,4.9,True,2025-11-06T12:54:34.519112
FRM000175,Farmer 175,+915280920176,6521 9536 9236,Punjab,District 6,Village 21,27.125923,79.951403,3.94,wheat,7.63,0.439,0.043,-22.4,0,42,19.7,0,32.1,True,2025-07-26T12:54:34.519608
FRM000176,Farmer 176,+910283464311,4676 3572 7915,Punjab,District 10,Village 74,19.632034,75.815952,1.27,wheat,2.3,0.395,0.005,-28.6,0,8,20.1,0,43.4,True,2025-05-20T12:54:34.520052
FRM000177,Farmer 177,+913615766764,2174 1178 3244,Punjab,District 18,Village 20,18.585996,81.854525,8.86,cotton,14.81,0.427,0.119,-24.4,0,41,26.5,0,34.4,True,2025-04-03T12:54:34.520480
FRM000178,Farmer 178,+912783862602,3917 6731 8686,Punjab,District 19,Village 49,18.48337,77.26923,2.23,cotton,10.89,0.536,0.04,22.6,0,34,15.7,1,37.8,True,2025-07-04T12:54:34.520761
FRM000179,Farmer 179,+918607921252,8769 1687 5661,Uttar Pradesh,District 7,Village 94,16.462615,83.09328,2.86,cotton,7.47,0.745,0.113,-19.8,0,26,24.6,0,45.8,True,2025-01-14T12:54:34.521230
FRM000180,Farmer 180,+915668940134,7120 6818 1382,Uttar Pradesh,District 17,Village 99,27.895194,84.473138,9.48,maize,24.61,0.772,-0.11,20.5,0,3,20.6,1,16.7,True,2025-10-08T12:54:34.521693
FRM000181,Farmer 181,+915136728177,9543 2907 7924,Uttar Pradesh,District 1,Village 34,19.594515,76.239402,7.24,maize,13.53,0.761,0.051,19.7,0,16,12.6,0,31.4,True,2025-09-07T12:54:34.522179
FRM000182,Farmer 182,+913445241900,9633 3550 5225,Punjab,District 4,Village 85,24.947194,79.739763,2.13,maize,4.44,0.554,-0.14,-37.8,0,13,29.6,0,5.5,True,2024-12-10T12:54:34.522980
FRM000183,Farmer 183,+911650160007,8299 4153 8450,Punjab,District 11,Village 59,22.69469,75.658109,9.96,wheat,30.11,0.806,-0.046,-44.5,0,4,26.6,0,28.6,True,2025-10-24T12:54:34.523521
FRM000184,Farmer 184,+916901652919,4779 3118 7391,Maharashtra,District 18,Village 7,20.118667,77.774384,2.73,rice,11.25,0.805,-0.118,-26.7,0,23,6.0,0,40.5,True,2025-02-02T12:54:34.525142
FRM000185,Farmer 185,+915705007625,4768 8995 9802,Haryana,District 11,Village 84,20.059959,82.757808,5.61,wheat,27.92,0.772,-0.121,20.6,0,46,15.1,0,41.3,True,2025-07-22T12:54:34.525708
FRM000186,Farmer 186,+918121034540,1178 7362 9683,Uttar Pradesh,District 8,Village 26,25.76899,75.686903,3.64,rice,6.81,0.824,-0.132,-20.2,0,13,21.9,1,46.0,True,2024-12-24T12:54:34.526180
FRM000187,Farmer 187,+912191045583,9320 1437 5846,Punjab,District 6,Village 83,23.16833,74.078437,8.45,maize,27.52,0.308,0.091,48.1,0,43,12.2,0,20.9,True,2025-10-11T12:54:34.526519
FRM000188,Farmer 188,+916922610886,7726 8481 7430,Haryana,District 18,Village 43,16.630238,84.756349,2.49,rice,6.02,0.833,0.07,20.0,0,26,28.7,0,38.6,True,2025-08-12T12:54:34.526873
FRM000189,Farmer 189,+918019131686,7587 1992 7858,Karnataka,District 10,Village 25,23.465931,84.128436,3.48,rice,12.96,0.496,-0.105,9.6,0,16,15.6,1,33.6,True,2025-08-16T12:54:34.527284
FRM000190,Farmer 190,+911794416790,3321 1495 3148,Uttar Pradesh,District 13,Village 82,20.142584,73.44934,1.33,maize,2.93,0.6,-0.088,4.4,0,1,14.9,0,41.0,True,2025-11-08T12:54:34.527662
FRM000191,Farmer 191,+918990142109,1786 5368 9096,Punjab,District 12,Village 49,26.158578,83.949704,1.59,rice,2.41,0.576,0.025,7.9,0,12,11.4,0,12.9,True,2025-05-25T12:54:34.527964
FRM000192,Farmer 192,+915976536899,8328 5633 4192,Uttar Pradesh,District 13,Village 84,21.689333,72.260302,4.62,cotton,20.65,0.5,0.088,44.1,0,45,18.6,0,37.8,True,2025-09-23T12:54:34.528239
FRM000193,Farmer 193,+913719866013,2299 6818 7701,Maharashtra,District 3,Village 55,16.851748,74.67774,5.55,cotton,16.01,0.637,0.092,-20.0,1,32,22.7,0,23.4,True,2025-03-02T12:54:34.528496
FRM000194,Farmer 194,+916253446429,1534 4364 2032,Haryana,District 15,Village 3,23.959686,77.117262,8.63,maize,25.57,0.47,0.131,1.6,0,35,8.0,0,41.2,True,2025-08-24T12:54:34.528764
FRM000195,Farmer 195,+919900220639,6204 8288 4203,Punjab,District 18,Village 69,16.390722,78.918897,5.42,wheat,22.33,0.76,0.061,42.9,0,13,11.6,1,11.3,True,2025-11-06T12:54:34.529023
FRM000196,Farmer 196,+917395145416,7998 6413 2269,Maharashtra,District 12,Village 86,25.920184,82.57092,7.74,wheat,27.64,0.406,0.05,12.3,0,8,15.2,0,8.5,True,2025-10-12T12:54:34.529307
FRM000197,Farmer 197,+918399839998,5938 3838 1737,Haryana,District 8,Village 87,21.437242,72.973646,0.97,wheat,3.58,0.335,-0.053,17.3,0,5,20.4,0,25.2,True,2025-02-11T12:54:34.529580
FRM000198,Farmer 198,+913019930783,7353 5957 4381,Punjab,District 16,Village 65,20.501975,73.293431,8.52,maize,20.6,0.532,-0.138,-5.1,0,17,13.3,0,7.1,True,2025-07-08T12:54:34.529830
FRM000199,Farmer 199,+911451469976,9445 6307 9520,Haryana,District 15,Village 13,26.276562,83.781036,1.03,maize,3.31,0.802,0.033,4.6,0,28,10.5,0,6.9,True,2025-11-20T12:54:34.530070
FRM000200,Farmer 200,+919464067637,7479 7964 9075,Haryana,District 5,Village 97,26.346766,78.164053,7.33,cotton,17.97,0.474,0.103,-2.4,0,27,21.9,0,10.8,True,2025-04-19T12:54:34.530371
